venue,team,matches,wins,win_rate
"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,1,0,0.0
"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,5,4,0.8
"Wankhede Stadium, Mumbai",Kolkata Knight Riders,1,0,0.0
"Wankhede Stadium, Mumbai",Mumbai Indians,7,2,0.2857142857142857
"Barsapara Cricket Stadium, Guwahati",Chennai Super Kings,1,0,0.0
"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,3,3,1.0
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Gujarat Titans,2,1,0.5
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Punjab Kings,4,3,0.75
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,6,2,0.3333333333333333
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Delhi Capitals,1,1,1.0
"Eden Gardens, Kolkata",Sunrisers Hyderabad,1,1,1.0
"Eden Gardens, Kolkata",Kolkata Knight Riders,6,3,0.5
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,7,4,0.5714285714285714
"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,1,1,1.0
"Arun Jaitley Stadium, Delhi",Mumbai Indians,1,0,0.0
"Arun Jaitley Stadium, Delhi",Delhi Capitals,7,2,0.2857142857142857
"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,1,1,1.0
"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,8,5,0.625
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,7,5,0.7142857142857143
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,1,1,1.0
"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,1,0,0.0
"Barsapara Cricket Stadium, Guwahati",Mumbai Indians,1,0,0.0
"Arun Jaitley Stadium, Delhi",Gujarat Titans,1,1,1.0
"Eden Gardens, Kolkata",Lucknow Super Giants,1,1,1.0
"Barsapara Cricket Stadium, Guwahati",Royal Challengers Bengaluru,1,0,0.0
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Sunrisers Hyderabad,2,0,0.0
"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,1,0,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,1,1,1.0
"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,1,1,1.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,1,0,0.0
"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,1,0,0.0
"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,1,0,0.0
"Wankhede Stadium, Mumbai",Punjab Kings,1,1,1.0
"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,1,0,0.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Chennai Super Kings,1,0,0.0
"M Chinnaswamy Stadium, Bengaluru",Delhi Capitals,1,1,1.0
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Lucknow Super Giants,1,0,0.0
"Eden Gardens, Kolkata",Rajasthan Royals,1,0,0.0
"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,1,1,1.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Delhi Capitals,1,0,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Rajasthan Royals,1,1,1.0
"Wankhede Stadium, Mumbai",Chennai Super Kings,1,1,1.0
"M Chinnaswamy Stadium, Bengaluru",Gujarat Titans,1,0,0.0
"Arun Jaitley Stadium, Delhi",Punjab Kings,1,1,1.0
"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,4,1,0.25
"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,1,1,1.0
"MA Chidambaram Stadium, Chepauk, Chennai",Gujarat Titans,1,1,1.0
"Arun Jaitley Stadium, Delhi",Royal Challengers Bengaluru,1,1,1.0
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Rajasthan Royals,3,2,0.6666666666666666
"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,1,1,1.0
"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,2,1,0.5
"Sawai Mansingh Stadium, Jaipur",Delhi Capitals,1,1,1.0
"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,1,0,0.0
"Narendra Modi Stadium, Ahmedabad",Punjab Kings,1,0,0.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,1,1,1.0
"Wankhede Stadium, Mumbai",Lucknow Super Giants,1,0,0.0
